ID,RA,DEC,FREQ,SigmaSN,SigmaSp,SN,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.96,10:00:54.981,+02:34:44.650,344.8,0,0,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.97,10:00:54.310,+02:34:36.784,343.396,0,0,4.4,0.45,0.30,0.37,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.98,10:00:54.958,+02:34:35.074,341.627,0,0,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.99,10:00:54.908,+02:34:35.416,343.316,0,1,4.4,0.45,0.30,0.37,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.100,10:00:55.100,+02:34:26.251,343.762,0,1,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.101,10:00:54.712,+02:34:44.582,341.776,0,0,4.4,0.83,0.49,0.17,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.102,10:00:54.223,+02:34:31.449,343.853,0,0,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.103,10:00:54.232,+02:34:25.840,344.355,1,2,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.104,10:00:54.762,+02:34:38.494,341.855,0,0,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.105,10:00:54.315,+02:34:40.204,344.732,0,0,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.106,10:00:54.575,+02:34:36.306,344.755,0,0,4.4,0.61,0.41,0.39,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.107,10:00:54.420,+02:34:46.224,344.606,0,1,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.108,10:00:54.214,+02:34:45.882,344.424,1,1,4.4,0.60,0.40,0.40,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.109,10:00:54.479,+02:34:30.081,344.446,0,0,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.110,10:00:54.561,+02:34:36.032,342.472,0,0,4.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.111,10:00:54.744,+02:34:23.241,343.864,0,1,4.4,1.00,0.43,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.112,10:00:54.862,+02:34:42.667,344.207,0,0,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.113,10:00:54.570,+02:34:46.839,343.02,0,0,4.3,0.80,0.49,0.20,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.114,10:00:54.483,+02:34:45.266,341.33,1,1,4.3,0.60,0.33,0.40,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.115,10:00:54.871,+02:34:35.143,343.431,1,3,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.116,10:00:54.283,+02:34:44.445,342.62,0,0,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.117,10:00:53.968,+02:34:35.348,343.75,0,0,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.118,10:00:55.050,+02:34:38.084,342.209,0,2,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.119,10:00:54.278,+02:34:38.494,343.408,0,1,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.120,10:00:54.383,+02:34:37.400,341.878,1,1,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.121,10:00:54.903,+02:34:42.256,342.586,0,1,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.122,10:00:54.424,+02:34:36.374,343.693,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.123,10:00:54.762,+02:34:36.237,342.506,0,1,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.124,10:00:54.871,+02:34:41.436,344.161,1,1,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.125,10:00:55.214,+02:34:39.247,342.666,0,1,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.126,10:00:54.470,+02:34:35.690,341.399,0,1,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.127,10:00:54.146,+02:34:31.723,344.583,1,2,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.128,10:00:54.963,+02:34:36.853,344.013,0,0,4.3,0.79,0.50,0.21,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.129,10:00:54.525,+02:34:42.872,343.682,0,0,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.130,10:00:54.908,+02:34:34.732,341.593,1,1,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.131,10:00:54.141,+02:34:25.362,341.65,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.132,10:00:54.739,+02:34:44.856,344.366,0,0,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.133,10:00:54.296,+02:34:27.277,343.83,2,2,4.3,0.51,0.32,0.38,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.134,10:00:55.091,+02:34:38.836,342.312,2,1,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.135,10:00:54.639,+02:34:33.775,342.632,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.136,10:00:54.283,+02:34:25.840,344.686,0,1,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.137,10:00:54.926,+02:34:35.006,342.472,1,1,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.138,10:00:54.406,+02:34:36.511,342.985,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.139,10:00:54.525,+02:34:32.680,344.503,0,1,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.140,10:00:54.388,+02:34:29.192,343.236,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.141,10:00:54.155,+02:34:37.879,343.647,0,0,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.142,10:00:54.826,+02:34:29.397,342.049,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.143,10:00:54.835,+02:34:27.824,342.814,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.144,10:00:54.972,+02:34:42.188,343.214,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.145,10:00:54.917,+02:34:44.103,342.963,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.146,10:00:54.534,+02:34:34.938,344.56,0,0,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.147,10:00:54.794,+02:34:45.950,344.389,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.148,10:00:54.182,+02:34:38.768,344.549,0,0,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.149,10:00:54.963,+02:34:43.282,343.191,0,0,4.3,0.51,0.32,0.43,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.150,10:00:54.657,+02:34:34.322,343.408,0,1,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.151,10:00:55.095,+02:34:30.970,344.321,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.152,10:00:55.036,+02:34:41.641,344.035,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.153,10:00:54.871,+02:34:45.266,341.627,1,1,4.3,0.61,0.35,0.39,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.154,10:00:54.716,+02:34:39.247,343.408,1,3,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.155,10:00:54.543,+02:34:43.761,342.711,0,0,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.156,10:00:54.963,+02:34:42.667,342.107,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.157,10:00:54.693,+02:34:24.062,344.15,0,0,4.3,1.00,0.63,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
