ID,RA,DEC,FREQ,SN,SigmaSN,SigmaSp,P,PE1,PE2,PSim,PSimE1,PSimE2,PPesimistic,PPesimisticE1,PPesimisticE2,PSimPesimistic,PSimPesimisticE1,PSimPesimisticE2
Survey_EL.736,10:00:54.278,+02:34:23.446,342.871,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.737,10:00:54.123,+02:34:32.338,341.445,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.738,10:00:53.721,+02:34:32.544,344.515,3.9,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.739,10:00:54.356,+02:34:44.650,343.579,3.9,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.740,10:00:55.154,+02:34:35.827,343.077,3.9,1,0,0.29,0.17,0.26,0.00,0.00,0.00,0.89,0.53,0.11,0.00,0.00,0.00
Survey_EL.741,10:00:54.954,+02:34:24.814,343.956,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.742,10:00:53.913,+02:34:43.830,343.385,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.743,10:00:55.040,+02:34:30.902,341.718,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.744,10:00:55.237,+02:34:36.579,344.366,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.745,10:00:54.187,+02:34:45.676,342.7,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.746,10:00:54.789,+02:34:35.143,343.853,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.747,10:00:54.305,+02:34:31.107,342.963,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.748,10:00:55.323,+02:34:32.544,343.351,3.9,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.749,10:00:53.726,+02:34:38.221,344.743,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.750,10:00:55.200,+02:34:38.768,343.202,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.751,10:00:54.137,+02:34:36.579,344.241,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.752,10:00:54.219,+02:34:44.582,341.935,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.753,10:00:54.333,+02:34:37.537,343.442,3.9,0,0,0.45,0.28,0.34,0.00,0.00,0.00,1.00,0.88,0.00,0.00,0.00,0.00
Survey_EL.754,10:00:54.351,+02:34:31.176,344.366,3.9,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.755,10:00:54.191,+02:34:42.530,343.921,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.756,10:00:55.127,+02:34:40.615,344.298,3.9,1,0,0.74,0.49,0.26,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.757,10:00:55.036,+02:34:34.596,341.661,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.758,10:00:54.780,+02:34:43.693,341.456,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.759,10:00:53.844,+02:34:41.162,344.138,3.9,1,0,0.39,0.24,0.32,0.00,0.00,0.00,1.00,0.73,0.00,0.00,0.00,0.00
Survey_EL.760,10:00:53.744,+02:34:33.570,341.661,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.761,10:00:54.707,+02:34:33.912,341.924,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.762,10:00:54.406,+02:34:45.129,342.826,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.763,10:00:54.155,+02:34:33.706,344.241,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.764,10:00:54.840,+02:34:33.843,342.38,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.765,10:00:54.881,+02:34:24.746,342.848,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.766,10:00:55.255,+02:34:36.648,341.502,3.9,0,0,0.45,0.28,0.34,0.00,0.00,0.00,1.00,0.88,0.00,0.00,0.00,0.00
Survey_EL.767,10:00:55.278,+02:34:35.006,343.898,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.768,10:00:54.794,+02:34:40.820,343.191,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.769,10:00:54.351,+02:34:31.928,343.065,3.9,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.770,10:00:53.959,+02:34:32.749,344.424,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.771,10:00:55.232,+02:34:35.553,342.335,3.9,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.772,10:00:54.324,+02:34:25.704,343.99,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.773,10:00:55.168,+02:34:31.449,343.921,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.774,10:00:54.958,+02:34:40.957,343.202,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.775,10:00:54.639,+02:34:27.277,343.054,3.9,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.776,10:00:54.812,+02:34:36.237,342.301,3.9,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Survey_EL.777,10:00:53.781,+02:34:29.534,343.704,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Survey_EL.778,10:00:54.844,+02:34:41.846,344.652,3.9,0,0,0.65,0.43,0.35,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
