#ID RA DEC FREQ SN SigmaSN SigmaSp P PE1 PE2 PSim PSimE1 PSimE2 PPesimistic PPesimisticE1 PPesimisticE2 PSimPesimistic PSimPesimisticE1 PSimPesimisticE2
Survey_EL.122 10:00:54.871 +02:34:35.143 343.431 4.4 1 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.123 10:00:55.136 +02:34:26.935 341.376 4.4 2 0 0.44 0.30 0.36 0.00 0.00 0.00 1.00 0.93 0.00 0.00 0.00 0.00
Survey_EL.124 10:00:55.159 +02:34:39.931 341.559 4.4 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.125 10:00:53.908 +02:34:35.827 343.122 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.126 10:00:54.730 +02:34:37.195 343.111 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.127 10:00:54.630 +02:34:36.716 342.586 4.4 4 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.128 10:00:54.986 +02:34:25.977 344.309 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.129 10:00:54.689 +02:34:36.784 342.757 4.4 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.130 10:00:54.830 +02:34:34.322 343.921 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.131 10:00:54.557 +02:34:36.169 342.632 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.132 10:00:54.976 +02:34:29.329 343.054 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.133 10:00:54.593 +02:34:27.550 341.399 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.134 10:00:54.036 +02:34:37.332 343.613 4.4 0 0 1.00 0.47 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00
Survey_EL.135 10:00:54.310 +02:34:36.784 343.396 4.4 0 0 0.31 0.19 0.24 0.00 0.00 0.00 0.97 0.58 0.03 0.00 0.00 0.00
Survey_EL.136 10:00:55.177 +02:34:38.768 343.419 4.4 2 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.137 10:00:54.908 +02:34:35.416 343.316 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
Survey_EL.138 10:00:55.100 +02:34:26.251 343.762 4.4 0 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
